structure,operation,input,size,time_ns
AVL,search_hit,reverse,1000,81956
AVL,search_miss,reverse,1000,51044
AVL,remove,reverse,1000,84724
TreeMap,insert,reverse,1000,69651
TreeMap,search_hit,reverse,1000,91049
TreeMap,search_miss,reverse,1000,37666
TreeMap,remove,reverse,1000,79672
Treap,insert,partial,1000,165142
Treap,search_hit,partial,1000,193787
Treap,search_miss,partial,1000,141183
Treap,remove,partial,1000,168770
AVL,insert,partial,1000,160849
AVL,search_hit,partial,1000,119135
AVL,search_miss,partial,1000,57614
AVL,remove,partial,1000,129115
TreeMap,insert,partial,1000,97249
TreeMap,search_hit,partial,1000,81021
TreeMap,search_miss,partial,1000,46250
TreeMap,remove,partial,1000,114777
Treap,insert,random,2500,666966
Treap,search_hit,random,2500,490201
Treap,search_miss,random,2500,300331
Treap,remove,random,2500,620692
AVL,insert,random,2500,771765
AVL,search_hit,random,2500,389228
AVL,search_miss,random,2500,136462
AVL,remove,random,2500,644565
TreeMap,insert,random,2500,318206
TreeMap,search_hit,random,2500,316256
TreeMap,search_miss,random,2500,118251
TreeMap,remove,random,2500,472067
Treap,insert,sorted,2500,375600
Treap,search_hit,sorted,2500,385254
Treap,search_miss,sorted,2500,251929
Treap,remove,sorted,2500,316991
AVL,insert,sorted,2500,382592
AVL,search_hit,sorted,2500,234713
AVL,search_miss,sorted,2500,236875
AVL,remove,sorted,2500,281716
TreeMap,insert,sorted,2500,206790
TreeMap,search_hit,sorted,2500,201341
TreeMap,search_miss,sorted,2500,169075
TreeMap,remove,sorted,2500,263458
Treap,insert,reverse,2500,411201
Treap,search_hit,reverse,2500,526070
Treap,search_miss,reverse,2500,215131
Treap,remove,reverse,2500,296831
AVL,insert,reverse,2500,558673
AVL,search_hit,reverse,2500,230775
AVL,search_miss,reverse,2500,149994
AVL,remove,reverse,2500,263544
TreeMap,insert,reverse,2500,247471
TreeMap,search_hit,reverse,2500,200569
TreeMap,search_miss,reverse,2500,208633
TreeMap,remove,reverse,2500,258047
Treap,insert,partial,2500,635157
Treap,search_hit,partial,2500,500369
Treap,search_miss,partial,2500,286520
Treap,remove,partial,2500,560877
AVL,insert,partial,2500,1045240
AVL,search_hit,partial,2500,284202
AVL,search_miss,partial,2500,219356
AVL,remove,partial,2500,585063
TreeMap,insert,partial,2500,509468
TreeMap,search_hit,partial,2500,266774
TreeMap,search_miss,partial,2500,192337
TreeMap,remove,partial,2500,440761
Treap,insert,random,5000,1989809
Treap,search_hit,random,5000,1306203
Treap,search_miss,random,5000,435252
Treap,remove,random,5000,1270491
AVL,insert,random,5000,1204984
AVL,search_hit,random,5000,897618
AVL,search_miss,random,5000,279398
AVL,remove,random,5000,1195918
TreeMap,insert,random,5000,778881
TreeMap,search_hit,random,5000,876437
TreeMap,search_miss,random,5000,211933
TreeMap,remove,random,5000,983733
Treap,insert,sorted,5000,503354
Treap,search_hit,sorted,5000,797965
Treap,search_miss,sorted,5000,397786
Treap,remove,sorted,5000,592267
AVL,insert,sorted,5000,809709
AVL,search_hit,sorted,5000,485206
AVL,search_miss,sorted,5000,174686
AVL,remove,sorted,5000,568994
TreeMap,insert,sorted,5000,416436
TreeMap,search_hit,sorted,5000,396113
TreeMap,search_miss,sorted,5000,343039
TreeMap,remove,sorted,5000,306545
Treap,insert,reverse,5000,778362
Treap,search_hit,reverse,5000,829667
Treap,search_miss,reverse,5000,510782
Treap,remove,reverse,5000,603957
AVL,insert,reverse,5000,1095111
AVL,search_hit,reverse,5000,436395
AVL,search_miss,reverse,5000,195041
AVL,remove,reverse,5000,758459
TreeMap,insert,reverse,5000,464533
TreeMap,search_hit,reverse,5000,446222
TreeMap,search_miss,reverse,5000,223728
TreeMap,remove,reverse,5000,355462
Treap,insert,partial,5000,1099193
Treap,search_hit,partial,5000,914233
Treap,search_miss,partial,5000,500749
Treap,remove,partial,5000,980845
AVL,insert,partial,5000,949066
AVL,search_hit,partial,5000,530196
AVL,search_miss,partial,5000,289797
AVL,remove,partial,5000,955053
TreeMap,insert,partial,5000,544978
TreeMap,search_hit,partial,5000,505833
TreeMap,search_miss,partial,5000,212008
TreeMap,remove,partial,5000,499758
Treap,insert,random,7500,2420168
Treap,search_hit,random,7500,1991788
Treap,search_miss,random,7500,687118
Treap,remove,random,7500,2099736
AVL,insert,random,7500,2076495
AVL,search_hit,random,7500,1374101
AVL,search_miss,random,7500,298745
AVL,remove,random,7500,1979454
TreeMap,insert,random,7500,1073767
TreeMap,search_hit,random,7500,899658
TreeMap,search_miss,random,7500,342276
TreeMap,remove,random,7500,1197071
